date,stateCode,word,cases
2013-12-25,CA,fleek,0
2013-12-25,CO,anime,2
2013-12-25,CO,bae,49
2013-12-25,CO,boi,7
2013-12-25,CO,bruhhh,0
2013-12-25,CO,fleek,0
2013-12-25,CT,anime,1
2013-12-25,CT,bae,52
2013-12-25,CT,boi,2
2013-12-25,CT,bruhhh,2
2013-12-25,CT,fleek,0
2013-12-25,DE,anime,0
2013-12-25,DE,bae,4
2013-12-25,DE,boi,0
2013-12-25,DE,bruhhh,0
2013-12-25,DE,fleek,0
2013-12-25,FL,anime,8
2013-12-25,FL,bae,504
2013-12-25,FL,boi,41
2013-12-25,FL,bruhhh,7
2013-12-25,FL,fleek,0
2013-12-25,GA,anime,6
2013-12-25,GA,bae,291
2013-12-25,GA,boi,25
2013-12-25,GA,bruhhh,1
2013-12-25,GA,fleek,0
2013-12-25,IA,anime,0
2013-12-25,IA,bae,19
2013-12-25,IA,boi,1
2013-12-25,IA,bruhhh,0
2013-12-25,IA,fleek,0
2013-12-25,ID,anime,0
2013-12-25,ID,bae,9
2013-12-25,ID,boi,5
2013-12-25,ID,bruhhh,0
2013-12-25,ID,fleek,0
2013-12-25,IL,anime,0
2013-12-25,IL,bae,42
2013-12-25,IL,boi,10
2013-12-25,IL,bruhhh,0
2013-12-25,IL,fleek,0
2013-12-25,IN,anime,2
2013-12-25,IN,bae,48
2013-12-25,IN,boi,3
2013-12-25,IN,bruhhh,3
2013-12-25,IN,fleek,0
2013-12-25,KS,anime,1
2013-12-25,KS,bae,7
2013-12-25,KS,boi,2
2013-12-25,KS,bruhhh,0
2013-12-25,KS,fleek,0
2013-12-25,KY,anime,0
2013-12-25,KY,bae,24
2013-12-25,KY,boi,1
2013-12-25,KY,bruhhh,1
2013-12-25,KY,fleek,0
2013-12-25,LA,anime,0
2013-12-25,LA,bae,204
2013-12-25,LA,boi,15
2013-12-25,LA,bruhhh,10
2013-12-25,LA,fleek,0
2013-12-25,MA,anime,0
2013-12-25,MA,bae,7
2013-12-25,MA,boi,2
2013-12-25,MA,bruhhh,0
2013-12-25,MA,fleek,0
2013-12-25,MD,anime,2
2013-12-25,MD,bae,162
2013-12-25,MD,boi,4
2013-12-25,MD,bruhhh,2
2013-12-25,MD,fleek,0
2013-12-25,ME,anime,0
2013-12-25,ME,bae,5
2013-12-25,ME,boi,1
